,bat,runs,balls,dismissals,avg,rpo
320,Mitchell Santner,9,3,,,18.0
47,Arjun Saud,9,8,,,6.75
51,Asad Shafiq,9,6,,,9.0
174,Haider Ali,8,3,,,16.0
220,Javed Omar,8,2,,,24.0
200,JP Kotze,8,3,,,16.0
479,Sulieman Benn,8,3,,,16.0
431,Samiullah Shinwari,8,7,1.0,8.0,6.86
523,Wessly Madhevere,8,5,,,9.6
45,Anton Devcich,8,5,,,9.6
57,Asif Iqbal,8,4,,,12.0
374,Peter Ingram,8,3,,,16.0
304,Matthew Spoors,8,10,,,4.8
506,Trevin Bastiampillai,8,7,1.0,8.0,6.86
352,Navneet Dhaliwal,8,3,,,16.0
166,Geraint Jones,8,3,,,16.0
390,Rakep Patel,8,9,1.0,8.0,5.33
498,Tobias Visee,8,5,,,9.6
41,Andy McBrine,8,3,,,16.0
227,Jimmy Hansra,8,7,,,6.86
206,James Faulkner,7,4,1.0,7.0,10.5
213,Janeiro Tucker,7,11,,,3.82
323,Mohammad Ashraful,7,13,1.0,7.0,3.23
36,Andrew Hall,7,5,1.0,7.0,8.4
484,Suryakumar Yadav,6,2,,,18.0
369,Pat Cummins,6,1,,,36.0
203,Jahurul Islam,6,3,,,12.0
388,Rajat Patidar,6,3,,,12.0
98,Chris Foggo,6,3,,,12.0
503,Tony de Zorzi,6,1,,,36.0
413,Rohit Paudel,6,10,1.0,6.0,3.6
100,Chris Jordan,6,1,,,36.0
420,Ryan Burl,6,2,1.0,6.0,18.0
310,Michael Carberry,6,4,,,9.0
363,Nuwanidu Fernando,6,2,,,18.0
101,Christopher Carter,5,2,,,15.0
537,Zubin Surkari,5,7,,,4.29
460,Shoaib Khan,5,8,1.0,5.0,3.75
313,Michael Jones,5,3,,,10.0
316,Michael Swart,5,2,,,15.0
190,Ihsanullah,5,5,,,6.0
241,Joylord Gumbie,5,3,,,10.0
379,Praveen Kumar,5,8,,,3.75
347,Najmul Hossain Shanto,5,3,,,10.0
69,Bas Zuiderent,5,2,,,15.0
376,Phil Mustard,5,2,,,15.0
254,Khurram Manzoor,5,4,,,7.5
456,Shevon Daniel,5,5,,,6.0
338,Morne van Wyk,5,4,,,7.5
56,Ashwell Prince,5,6,,,5.0
439,Seren Waters,4,2,,,12.0
11,Adam Voges,4,7,,,3.43
535,Zeeshan Maqsood,4,13,1.0,4.0,1.85
115,Damien Martyn,4,2,,,12.0
423,Sabbir Rahman,4,6,1.0,4.0,4.0
90,Chamara Kapugedera,4,4,,,6.0
437,Scott Edwards,4,1,,,24.0
5,Aaron Redmond,4,4,,,6.0
487,Tafadzwa Mufambisi,4,1,,,24.0
521,Wayne Parnell,4,4,,,6.0
524,Wiaan Mulder,4,7,1.0,4.0,3.43
426,Sai Sudharsan,4,1,,,24.0
417,Runako Morton,4,12,1.0,4.0,2.0
357,Niall O'Brien,4,2,1.0,4.0,12.0
354,Nazimuddin,4,1,,,24.0
258,Kirk Edwards,4,5,,,4.8
73,Bhim Sharki,4,2,,,12.0
84,Callum Ferguson,4,5,,,4.8
314,Michael Leask,4,2,,,12.0
317,Michael Vaughan,4,6,,,4.0
1,Aarif Sheikh,4,1,,,24.0
39,Andri Berenger,4,2,,,12.0
329,Mohammad Nadeem,4,9,,,2.67
335,Mohammed Qasim,4,1,,,24.0
70,Bas de Leede,4,3,,,8.0
208,James McCollum,4,1,,,24.0
215,Jaskaran Malhotra,4,1,,,24.0
170,Graeme Swann,4,2,1.0,4.0,12.0
259,Kraigg Brathwaite,4,5,,,4.8
358,Nikolaas Davin,4,1,,,24.0
287,Mahela Udawatte,4,2,,,12.0
240,Josh Philippe,4,2,,,12.0
391,Ramesh David,4,4,,,6.0
68,Barney Rogers,4,2,,,12.0
179,Harry Brook,4,2,,,12.0
223,Jekon Edness,4,1,,,24.0
129,Dean Minors,4,3,1.0,4.0,8.0
209,James Neesham,3,2,,,9.0
452,Shardul Thakur,3,5,1.0,3.0,3.6
260,Kuldeep Yadav,3,3,,,6.0
511,Usman Mushtaq,3,2,,,9.0
177,Hamish Gardiner,3,1,,,18.0
242,Junior Dala,3,3,,,6.0
435,Sanju Samson,3,5,,,3.6
144,Duncan Allan,2,1,,,12.0
58,Asif Khan,2,4,,,3.0
401,Ricardo Powell,2,5,,,2.4
308,Mehidy Hasan Miraz,2,5,,,2.4
211,Jamie Atkinson,2,1,,,12.0
159,Gaudi Toka,2,2,,,6.0
280,Lovepreet Singh,2,2,,,6.0
472,Stephen Doheny,2,1,,,12.0
364,Ollie Hairs,2,1,,,12.0
182,Hashmatullah Shahidi,2,5,,,2.4
236,Jonathan Trott,2,2,,,6.0
13,Adnan Mufti,2,5,,,2.4
156,Gareth Delany,2,1,,,12.0
362,Nuwan Kulasekara,2,2,,,6.0
34,Andre Russell,2,3,,,4.0
356,Neil Kruger,2,3,,,4.0
3,Aaron Hardie,2,5,1.0,2.0,2.4
167,Gerald Coetzee,2,1,,,12.0
346,Nafees Iqbal,2,2,,,6.0
157,Gary Ballance,1,1,,,6.0
224,Jeremy Bray,1,2,,,3.0
145,Dwayne Bravo,1,6,,,1.0
9,Abid Ali,1,1,,,6.0
268,Kyle Mills,1,9,1.0,1.0,0.67
59,Assad Vala,1,1,,,6.0
251,Kevin O'Brien,1,3,,,2.0
229,Joe Denly,1,3,,,2.0
281,Luke Jongwe,1,2,,,3.0
478,Stuart Matsikenyeri,1,2,,,3.0
321,Mitchell Starc,1,1,,,6.0
507,Umar Amin,1,1,,,6.0
284,Lungi Ngidi,1,1,,,6.0
132,Dev Khanal,1,9,,,0.67
434,Sandun Weerakkody,1,1,,,6.0
436,Sarfaraz Ahmed,1,1,,,6.0
375,Peter Moor,1,2,,,3.0
86,Cameron Green,1,5,,,1.2
534,Zane Green,1,1,,,6.0
21,Alex Carey,1,3,,,2.0
393,Raqibul Hasan,1,5,,,1.2
65,BJ Watling,1,1,,,6.0
165,George Worker,1,1,,,6.0
175,Hamid Hassan,1,3,1.0,1.0,2.0
74,Bilal Asif,1,1,,,6.0
396,Ravichandran Ashwin,1,1,1.0,1.0,6.0
400,Riaz Hassan,1,2,,,3.0
465,Simon Atai,1,1,,,6.0
92,Chanaka Welegedara,1,1,,,6.0
299,Matt Machan,1,1,,,6.0
403,Richmond Mutumbami,1,1,,,6.0
289,Makhaya Ntini,1,1,,,6.0
433,Sandeep Jyoti,1,8,,,0.75
222,Jehan Mubarak,0,2,,,0.0
172,Gulbadin Naib,0,2,1.0,0.0,0.0
512,Vani Morea,0,0,,,
94,Charles Coventry,0,0,,,
171,Grant Elliott,0,2,2.0,0.0,0.0
201,Jacob Oram,0,1,1.0,0.0,0.0
204,Jai Prakash Yadav,0,1,,,0.0
8,Abdullah Shafique,0,2,,,0.0
520,Wavell Hinds,0,7,,,0.0
518,Waqas Barkat,0,0,,,
415,Rony Talukdar,0,5,,,0.0
477,Stuart Broad,0,1,,,0.0
504,Travis Dowlin,0,1,,,0.0
500,Tom Cooper,0,0,,,
421,Ryan Rickelton,0,4,,,0.0
124,David Willey,0,4,,,0.0
