,bat,runs,balls,dismissals,avg,rpo
146,Craig Williams,16,10,,,9.6
65,Aryan Dutt,16,9,1.0,16.0,10.67
495,Neil Broom,16,16,2.0,8.0,6.0
667,Stuart Matsikenyeri,16,16,1.0,16.0,6.0
769,Zubin Surkari,16,24,1.0,16.0,4.0
16,Adnan Mufti,16,26,1.0,16.0,3.69
669,Sulieman Benn,15,8,1.0,15.0,11.25
11,Adam Milne,15,10,1.0,15.0,9.0
81,Ayaan Khan,15,19,,,4.74
212,Freddie Coleman,15,10,1.0,15.0,9.0
419,Matt Henry,15,18,3.0,5.0,5.0
58,Anil Sah,15,21,,,4.29
420,Matt Machan,15,11,,,8.18
449,Mitchell Starc,14,17,5.0,2.8,4.94
382,Lasith Malinga,14,14,2.0,7.0,6.0
149,D'Arcy Short,14,21,,,4.0
374,Kyle Hope,14,11,,,7.64
588,Sachithra Senanayake,14,20,1.0,14.0,4.2
587,Sachith Pathirana,14,14,1.0,14.0,6.0
617,Shadab Khan,14,7,2.0,7.0,12.0
710,Tom Cooper,14,17,1.0,14.0,4.94
471,Mosaddek Hossain,14,17,1.0,14.0,4.94
50,Andrew Poynter,14,13,1.0,14.0,6.46
749,Wessly Madhevere,14,18,1.0,14.0,4.67
36,Alexei Kervezee,14,10,1.0,14.0,8.4
520,Peter Forrest,14,18,,,4.67
521,Peter Handscomb,14,9,3.0,4.67,9.33
308,Jhye Richardson,14,25,1.0,14.0,3.36
457,Mohammad Nadeem,14,30,,,2.8
566,Robin Uthappa,14,15,,,5.6
428,Mayank Agarwal,13,13,1.0,13.0,6.0
365,Kraigg Brathwaite,13,21,,,3.71
526,Pikky Ya France,13,11,1.0,13.0,7.09
666,Stuart Broad,13,21,2.0,6.5,3.71
651,Sisanda Magala,13,18,2.0,6.5,4.33
458,Mohammad Naim,13,10,,,7.8
750,Wiaan Mulder,12,15,3.0,4.0,4.8
348,Keacy Carty,12,19,,,3.79
190,Dushmantha Chameera,12,9,,,8.0
689,Tawanda Mupariwa,12,4,1.0,12.0,18.0
68,Asad Shafiq,12,14,1.0,12.0,5.14
49,Andrew Ellis,12,7,1.0,12.0,10.29
602,Saqib Mahmood,12,15,1.0,12.0,4.8
554,Richard Ngarava,12,5,,,14.4
672,Sunil Dhaniram,12,24,,,3.0
721,Trent Boult,12,10,,,7.2
404,Majid Haq,12,11,,,6.55
116,Chad Bowes,12,11,1.0,12.0,6.55
559,Riley Hekure,12,20,1.0,12.0,3.6
434,Michael Jones,12,15,,,4.8
707,Tobias Visee,12,8,1.0,12.0,9.0
472,Muhammad Usman,11,4,,,16.5
688,Taskin Ahmed,11,6,1.0,11.0,11.0
439,Michael Swart,11,16,,,4.12
464,Mohammed Shami,11,16,2.0,5.5,4.12
564,Rob Taylor,11,10,2.0,5.5,6.6
59,Anrich Nortje,11,9,1.0,11.0,7.33
208,Fawad Alam,11,6,1.0,11.0,11.0
194,Dylan Budge,11,9,1.0,11.0,7.33
511,Pargat Singh,11,16,1.0,11.0,4.12
470,Morris Ouma,11,11,,,6.0
361,Kinchit Shah,11,18,,,3.67
702,Tim Seifert,11,10,1.0,11.0,6.6
500,Nikita Miller,11,7,,,9.43
20,Aftab Ahmed,11,14,2.0,5.5,4.71
493,Nawroz Mangal,11,28,,,2.36
405,Malan Kruger,11,5,,,13.2
504,Nizakat Khan,10,7,1.0,10.0,8.57
411,Mark Boucher,10,19,,,3.16
35,Alex Obanda,10,12,1.0,10.0,5.0
486,Nasum Ahmed,10,5,,,12.0
712,Tom Hartley,10,7,,,8.57
677,Sybrand Engelbrecht,10,9,1.0,10.0,6.67
491,Navdeep Saini,10,10,,,6.0
609,Scott Styris,10,5,1.0,10.0,12.0
264,Ikram Alikhil,10,11,,,5.45
326,Josh Davey,10,12,1.0,10.0,5.0
754,Wriddhiman Saha,10,8,,,7.5
540,Rakep Patel,10,13,1.0,10.0,4.62
285,James McCollum,10,10,,,6.0
189,Dunith Wellalage,10,9,2.0,5.0,6.67
160,Daryl Tuffey,10,5,,,12.0
658,Srimantha Wijeyeratne,9,10,,,5.4
681,Taijul Islam,9,13,1.0,9.0,4.15
582,Ryan McLaren,9,8,,,6.75
594,Salman Butt,9,5,,,10.8
561,Rishi Dhawan,9,8,1.0,9.0,6.75
644,Shoriful Islam,9,11,1.0,9.0,4.91
692,Tendai Chatara,9,13,1.0,9.0,4.15
156,Danza Hyatt,9,11,,,4.91
119,Chamara Kapugedera,9,8,2.0,4.5,6.75
174,Devendra Bishoo,9,7,,,7.71
469,Morne van Wyk,9,5,,,10.8
135,Colin Ackermann,9,5,,,10.8
734,Usman Limbada,9,7,1.0,9.0,7.71
397,Luke Jongwe,9,6,1.0,9.0,9.0
53,Andri Berenger,8,6,1.0,8.0,8.0
437,Michael Lumb,8,3,,,16.0
217,Gaudi Toka,8,9,1.0,8.0,5.33
40,Alzarri Joseph,8,5,,,9.6
333,Junaid Khan,8,9,,,5.33
719,Travis Dowlin,8,9,1.0,8.0,5.33
705,Tinashe Kamunhukamwe,8,5,1.0,8.0,9.6
766,Zawar Farid,8,2,,,24.0
67,Aryansh Sharma,8,16,1.0,8.0,3.0
425,Matthew Spoors,8,14,1.0,8.0,3.43
659,Stephan Baard,8,9,1.0,8.0,5.33
70,Asghar Afghan,8,16,,,3.0
150,Dale Richards,8,2,,,24.0
590,Saeed Ajmal,8,15,1.0,8.0,3.2
598,Sami Aslam,8,4,,,12.0
173,Dev Khanal,7,8,,,5.25
