,bat,runs,balls,dismissals,avg,rpo
886,Murali Vijay,76,70,4.0,19.0,6.51
1281,Tanwir Afzal,76,51,5.0,15.2,8.94
267,Courtney Browne,76,68,4.0,19.0,6.71
769,Manoj Tiwary,75,64,1.0,75.0,7.03
1338,Travis Dowlin,75,109,,,4.13
46,Ajantha Mendis,75,114,9.0,8.33,3.95
933,Nikita Miller,75,79,6.0,12.5,5.7
323,Deepak Hooda,74,93,3.0,24.67,4.77
308,David Hemp,74,69,1.0,74.0,6.43
958,Oshada Fernando,73,77,3.0,24.33,5.69
300,Darren Lehmann,73,76,,,5.76
543,James Anderson,73,92,8.0,9.12,4.76
782,Mark Wood,73,85,3.0,24.33,5.15
417,Gaudi Toka,72,112,4.0,18.0,3.86
257,Cole McConchie,72,71,2.0,36.0,6.08
71,Alzarri Joseph,71,92,5.0,14.2,4.63
539,Jahurul Islam,70,80,2.0,35.0,5.25
275,Craig Young,70,79,1.0,70.0,5.32
946,Nosthush Kenjige,70,60,2.0,35.0,7.0
312,David Obuya,69,81,4.0,17.25,5.11
505,Ian Holland,69,60,3.0,23.0,6.9
501,Ian Billcliff,69,72,2.0,34.5,5.75
537,Jacques Rudolph,69,81,2.0,34.5,5.11
332,Dhammika Prasad,69,55,,,7.53
634,Justin Ontong,69,97,4.0,17.25,4.27
90,Andrew Poynter,69,79,1.0,69.0,5.24
255,Clint McKay,68,110,7.0,9.71,3.71
1240,Stuart Binny,68,53,4.0,17.0,7.7
303,Daryl Tuffey,68,51,4.0,17.0,8.0
160,Bazid Khan,68,119,2.0,34.0,3.43
